Stock_ID,Stock_Name,Stock_Industry,Stock_Industry_Prev,Stock_Market,Stock_Code,Total_Value,Total_Value_Prev
838924,广脉科技,互联网服务,,CN,bj838924,932090000.0,0
838971,天马新材,非金属材料,,CN,bj838971,1185449782.34,0
839167,同享科技,有色金属,,CN,bj839167,1608097200.0,0
839273,一致魔芋,食品饮料,,CN,bj839273,986090980.0,0
839371,欧福蛋业,食品饮料,,CN,bj839371,1082697974.72,0
839493,并行科技,软件开发,,CN,bj839493,3520096500.0,0
839680,广道数字,软件开发,,CN,bj839680,1557077676.0,0
839719,宁新新材,非金属材料,,CN,bj839719,1261415570.0,0
839725,惠丰钻石,非金属材料,,CN,bj839725,1551563000.0,0
839729,永顺生物,生物制品,,CN,bj839729,2454683000.0,0
839790,联迪信息,软件开发,,CN,bj839790,621470447.4,0
839792,东和新材,非金属材料,,CN,bj839792,1110773400.0,0
839946,华阳变速,汽车零部件,,CN,bj839946,884187401.65,0
870199,倍益康,医疗器械,,CN,bj870199,950812808.0,0
870204,沪江材料,塑料制品,,CN,bj870204,852941922.0,0
870299,灿能电力,仪器仪表,,CN,bj870299,590215757.8,0
870357,雅葆轩,电子元件,,CN,bj870357,812812000.0,0
870436,大地电气,汽车零部件,,CN,bj870436,716128080.0,0
870508,丰安股份,通用设备,,CN,bj870508,566384000.0,0
870726,鸿智科技,家电行业,,CN,bj870726,698713036.1999999,0
870866,绿亨科技,农药兽药,,CN,bj870866,1176744527.0,0
870976,视声智能,计算机设备,,CN,bj870976,704465900.0,0
871245,威博液压,工程机械,,CN,bj871245,547950000.0,0
871396,常辅股份,通用设备,,CN,bj871396,555900804.0,0
871478,巨能股份,专用设备,,CN,bj871478,1445454933.3,0
871553,凯腾精工,造纸印刷,,CN,bj871553,685403494.1999999,0
871634,新威凌,有色金属,,CN,bj871634,612002040.0,0
871642,通易航天,橡胶制品,,CN,bj871642,865646821.3,0
871694,中裕科技,橡胶制品,,CN,bj871694,1650861755.0,0
871753,天纺标,专业服务,,CN,bj871753,759502753.44,0
871857,泓禧科技,电子元件,,CN,bj871857,816298886.56,0
871970,大禹生物,农牧饲渔,,CN,bj871970,567938040.0,0
871981,晶赛科技,电子元件,,CN,bj871981,1139373200.0,0
872190,雷神科技,计算机设备,,CN,bj872190,1270000012.7,0
872351,华光源海,物流行业,,CN,bj872351,563217013.02,0
872374,云里物里,电子元件,,CN,bj872374,855939000.0,0
872392,佳合科技,包装材料,,CN,bj872392,589348000.0,0
872541,铁大科技,交运设备,,CN,bj872541,1078563000.0,0
872808,曙光数创,通用设备,,CN,bj872808,8946000044.73,0
872895,花溪科技,专用设备,,CN,bj872895,502498360.00000006,0
872925,锦好医疗,医疗器械,,CN,bj872925,1251394164.68,0
872953,国子软件,软件开发,,CN,bj872953,1501726066.0,0
873001,纬达光电,光学光电子,,CN,bj873001,1249224938.5200002,0
873122,中纺标,专业服务,,CN,bj873122,1204455517.24,0
873132,泰鹏智能,家用轻工,,CN,bj873132,1008388799.9999999,0
873152,天宏锂电,电池,,CN,bj873152,858159559.4,0
873167,新赣江,化学制药,,CN,bj873167,1020402000.0,0
873169,七丰精工,工程机械,,CN,bj873169,571558507.9,0
873223,荣亿精密,工程机械,,CN,bj873223,621275750.0,0
873305,九菱科技,通用设备,,CN,bj873305,746236349.9999999,0
873339,恒太照明,家电行业,,CN,bj873339,1142857722.0,0
873527,夜光明,化学制品,,CN,bj873527,498354410.00000006,0
873576,天力复合,通用设备,,CN,bj873576,2124525000.0,0
873593,鼎智科技,电机,,CN,bj873593,4250910892.2799997,0
873665,科强股份,橡胶制品,,CN,bj873665,1199807700.0,0
873679,前进科技,通用设备,,CN,bj873679,1227013600.0,0
873693,阿为特,专用设备,,CN,bj873693,3242448000.0,0
873726,卓兆点胶,专用设备,,CN,bj873726,2175047019.0,0
873833,美心翼申,通用设备,,CN,bj873833,1125423200.0,0
600000,浦发银行,银行,,CN,sh600000,203997625952.2,0
600004,白云机场,航空机场,,CN,sh600004,25820896467.53,0
600006,东风汽车,汽车整车,,CN,sh600006,12820000000.0,0
600007,中国国贸,房地产开发,,CN,sh600007,21102569087.3,0
600008,首创环保,公用事业,,CN,sh600008,20113218454.980003,0
600009,上海机场,航空机场,,CN,sh600009,91352149991.40001,0
600010,包钢股份,钢铁行业,,CN,sh600010,71739808751.84,0
600011,华能国际,电力行业,,CN,sh600011,116165890856.6,0
600012,皖通高速,铁路公路,,CN,sh600012,17150027400.0,0
600015,华夏银行,银行,,CN,sh600015,90715092267.6,0
600016,民生银行,银行,,CN,sh600016,167686662862.66,0
600017,日照港,航运港口,,CN,sh600017,8734857041.92,0
600018,上港集团,航运港口,,CN,sh600018,116420723750.0,0
600019,宝钢股份,钢铁行业,,CN,sh600019,137364318080.64,0
600020,中原高速,铁路公路,,CN,sh600020,7910748848.64,0
600021,上海电力,电力行业,,CN,sh600021,24815511512.45,0
600022,山东钢铁,钢铁行业,,CN,sh600022,15406343357.76,0
600023,浙能电力,电力行业,,CN,sh600023,61143821335.439995,0
600025,华能水电,电力行业,,CN,sh600025,145620000000.0,0
600026,中远海能,航运港口,,CN,sh600026,64930266735.95,0
600027,华电国际,电力行业,,CN,sh600027,51137805665.0,0
600028,中国石化,石油行业,,CN,sh600028,656853183660.0801,0
600029,南方航空,航空机场,,CN,sh600029,113799291689.6,0
600030,中信证券,证券,,CN,sh600030,326793057579.45,0
600031,三一重工,工程机械,,CN,sh600031,119564079939.33,0
600032,浙江新能,电力行业,,CN,sh600032,19790477916.52,0
600033,福建高速,铁路公路,,CN,sh600033,8782080000.0,0
600035,楚天高速,铁路公路,,CN,sh600035,6408261285.98,0
600036,招商银行,银行,,CN,sh600036,756595368030.0,0
600037,歌华有线,文化传媒,,CN,sh600037,11718769783.28,0
600038,中直股份,航天航空,,CN,sh600038,22128955918.64,0
600039,四川路桥,工程建设,,CN,sh600039,68591600158.55,0
600048,保利发展,房地产开发,,CN,sh600048,133949261847.42,0
600050,中国联通,通信服务,,CN,sh600050,143436005327.12,0
600051,宁波联合,综合行业,,CN,sh600051,2275641600.0,0
600052,东望时代,文化传媒,,CN,sh600052,4541767706.58,0
600053,九鼎投资,多元金融,,CN,sh600053,8254616832.0,0
600054,黄山旅游,旅游酒店,,CN,sh600054,8387863560.0,0
600055,万东医疗,医疗器械,,CN,sh600055,12816803087.34,0
600056,中国医药,医药商业,,CN,sh600056,18474114887.8,0
600057,厦门象屿,物流行业,,CN,sh600057,14902113367.44,0
600058,五矿发展,贸易行业,,CN,sh600058,9883016755.42,0
600059,古越龙山,酿酒行业,,CN,sh600059,8896653950.88,0
600060,海信视像,家电行业,,CN,sh600060,31344423761.34,0
